season,week,day,cycle,gospel,chapter,notes
LENT,4,THU,ALL,Jn,5,
LENT,4,FRI,ALL,Jn,7,
LENT,4,SAT,ALL,Jn,7,
LENT,5,SUN,A,Jn,11,
LENT,5,SUN,B,Jn,12,
LENT,5,SUN,C,Jn,8,
LENT,5,MON,ALL,Jn,8,
LENT,5,TUE,ALL,Jn,8,
LENT,5,WED,ALL,Jn,8,
LENT,5,THU,ALL,Jn,8,
LENT,5,FRI,ALL,Jn,10,
LENT,5,SAT,ALL,Jn,11,
LENT,6,SUN,A,Mt,26,Palm Sunday - Passion
LENT,6,SUN,B,Mk,14,Palm Sunday - Passion
LENT,6,SUN,C,Lk,22,Palm Sunday - Passion
LENT,6,MON,ALL,Jn,12,Holy Monday
LENT,6,TUE,ALL,Jn,13,Holy Tuesday
LENT,6,WED,ALL,Mt,26,Spy Wednesday
LENT,6,THU,ALL,Jn,13,Holy Thursday
LENT,6,FRI,ALL,Jn,18,Good Friday
LENT,6,SAT,ALL,Lk,23,Holy Saturday
EASTER,1,SUN,ALL,Jn,20,Easter Sunday
EASTER,1,MON,ALL,Mt,28,Easter Monday
EASTER,1,TUE,ALL,Jn,20,Easter Tuesday
EASTER,1,WED,ALL,Lk,24,Easter Wednesday
EASTER,1,THU,ALL,Lk,24,Easter Thursday
EASTER,1,FRI,ALL,Jn,21,Easter Friday
EASTER,1,SAT,ALL,Jn,21,Easter Saturday
EASTER,2,SUN,ALL,Jn,20,Divine Mercy Sunday
EASTER,2,MON,ALL,Jn,3,
EASTER,2,TUE,ALL,Jn,3,
EASTER,2,WED,ALL,Jn,3,
EASTER,2,THU,ALL,Jn,3,
EASTER,2,FRI,ALL,Jn,6,
EASTER,2,SAT,ALL,Jn,6,
EASTER,3,SUN,A,Lk,24,
EASTER,3,SUN,B,Lk,24,
EASTER,3,SUN,C,Jn,21,
EASTER,3,MON,ALL,Jn,6,
EASTER,3,TUE,ALL,Jn,6,
EASTER,3,WED,ALL,Jn,6,
EASTER,3,THU,ALL,Jn,6,
EASTER,3,FRI,ALL,Jn,6,
EASTER,3,SAT,ALL,Jn,6,
EASTER,4,SUN,ALL,Jn,10,Good Shepherd Sunday (same all cycles)
EASTER,4,MON,ALL,Jn,10,
EASTER,4,TUE,ALL,Jn,10,
EASTER,4,WED,ALL,Jn,12,
EASTER,4,THU,ALL,Jn,13,
EASTER,4,FRI,ALL,Jn,14,
EASTER,4,SAT,ALL,Jn,14,
EASTER,5,SUN,A,Jn,14,
EASTER,5,SUN,B,Jn,15,
EASTER,5,SUN,C,Jn,13,
EASTER,5,MON,ALL,Jn,14,
EASTER,5,TUE,ALL,Jn,14,
EASTER,5,WED,ALL,Jn,15,
EASTER,5,THU,ALL,Jn,15,
EASTER,5,FRI,ALL,Jn,15,
EASTER,5,SAT,ALL,Jn,15,
EASTER,6,SUN,A,Jn,14,
EASTER,6,SUN,B,Jn,15,
EASTER,6,SUN,C,Jn,14,
EASTER,6,MON,ALL,Jn,15,
EASTER,6,TUE,ALL,Jn,16,
EASTER,6,WED,ALL,Jn,16,
EASTER,6,THU,ALL,Jn,16,
EASTER,6,FRI,ALL,Jn,16,
EASTER,6,SAT,ALL,Jn,16,
EASTER,7,SUN,ALL,Jn,17,Ascension Sunday in Korea (Easter+42)
EASTER,7,MON,ALL,Jn,16,
EASTER,7,TUE,ALL,Jn,17,
EASTER,7,WED,ALL,Jn,17,
EASTER,7,THU,ALL,Jn,17,
EASTER,7,FRI,ALL,Jn,21,
EASTER,7,SAT,ALL,Jn,21,
MOVABLE,PENTECOST+7,SUN,A,Jn,3,Trinity Sunday
MOVABLE,PENTECOST+7,SUN,B,Mt,28,Trinity Sunday
MOVABLE,PENTECOST+7,SUN,C,Jn,16,Trinity Sunday
MOVABLE,PENTECOST+14,SUN,A,Jn,6,Corpus Christi (Sunday in Korea)
MOVABLE,PENTECOST+14,SUN,B,Mk,14,Corpus Christi (Sunday in Korea)
MOVABLE,PENTECOST+14,SUN,C,Lk,9,Corpus Christi (Sunday in Korea)
MOVABLE,PENTECOST+19,FRI,A,Mt,11,Sacred Heart
MOVABLE,PENTECOST+19,FRI,B,Jn,19,Sacred Heart
MOVABLE,PENTECOST+19,FRI,C,Lk,15,Sacred Heart
ORDINARY,2,SUN,A,Jn,1,
ORDINARY,2,SUN,B,Jn,1,
ORDINARY,2,SUN,C,Jn,2,
ORDINARY,3,SUN,A,Mt,4,
ORDINARY,3,SUN,B,Mk,1,
ORDINARY,3,SUN,C,Lk,4,
ORDINARY,4,SUN,A,Mt,5,
ORDINARY,4,SUN,B,Mk,1,
ORDINARY,4,SUN,C,Lk,4,
ORDINARY,5,SUN,A,Mt,5,
ORDINARY,5,SUN,B,Mk,1,
ORDINARY,5,SUN,C,Lk,5,
ORDINARY,6,SUN,A,Mt,5,
ORDINARY,6,SUN,B,Mk,1,
ORDINARY,6,SUN,C,Lk,6,
ORDINARY,7,SUN,A,Mt,5,
ORDINARY,7,SUN,B,Mk,2,
ORDINARY,7,SUN,C,Lk,6,
ORDINARY,8,SUN,A,Mt,6,
ORDINARY,8,SUN,B,Mk,2,
ORDINARY,8,SUN,C,Lk,6,
ORDINARY,9,SUN,A,Mt,7,
ORDINARY,9,SUN,B,Mk,2,
ORDINARY,9,SUN,C,Lk,7,
ORDINARY,10,SUN,A,Mt,9,
ORDINARY,10,SUN,B,Mk,3,
ORDINARY,10,SUN,C,Lk,7,
ORDINARY,11,SUN,A,Mt,9,
ORDINARY,11,SUN,B,Mk,4,
ORDINARY,11,SUN,C,Lk,7,
ORDINARY,12,SUN,A,Mt,10,
ORDINARY,12,SUN,B,Mk,4,
ORDINARY,12,SUN,C,Lk,9,
ORDINARY,13,SUN,A,Mt,10,
ORDINARY,13,SUN,B,Mk,5,
ORDINARY,13,SUN,C,Lk,9,
ORDINARY,14,SUN,A,Mt,11,
ORDINARY,14,SUN,B,Mk,6,
ORDINARY,14,SUN,C,Lk,10,
ORDINARY,15,SUN,A,Mt,13,
ORDINARY,15,SUN,B,Mk,6,
ORDINARY,15,SUN,C,Lk,10,
ORDINARY,16,SUN,A,Mt,13,
ORDINARY,16,SUN,B,Mk,6,
ORDINARY,16,SUN,C,Lk,10,
ORDINARY,17,SUN,A,Mt,13,
ORDINARY,17,SUN,B,Jn,6,Bread of Life discourse (Year B)
ORDINARY,17,SUN,C,Lk,11,
ORDINARY,18,SUN,A,Mt,14,
ORDINARY,18,SUN,B,Jn,6,Bread of Life discourse (Year B)
ORDINARY,18,SUN,C,Lk,12,
ORDINARY,19,SUN,A,Mt,14,
ORDINARY,19,SUN,B,Jn,6,Bread of Life discourse (Year B)
ORDINARY,19,SUN,C,Lk,12,
ORDINARY,20,SUN,A,Mt,15,
ORDINARY,20,SUN,B,Jn,6,Bread of Life discourse (Year B)
ORDINARY,20,SUN,C,Lk,12,
ORDINARY,21,SUN,A,Mt,16,
ORDINARY,21,SUN,B,Jn,6,Bread of Life discourse (Year B)
ORDINARY,21,SUN,C,Lk,13,
ORDINARY,22,SUN,A,Mt,16,
ORDINARY,22,SUN,B,Mk,7,
ORDINARY,22,SUN,C,Lk,14,
ORDINARY,23,SUN,A,Mt,18,
ORDINARY,23,SUN,B,Mk,7,
ORDINARY,23,SUN,C,Lk,14,
ORDINARY,24,SUN,A,Mt,18,
ORDINARY,24,SUN,B,Mk,8,
ORDINARY,24,SUN,C,Lk,15,
ORDINARY,25,SUN,A,Mt,20,
ORDINARY,25,SUN,B,Mk,9,
ORDINARY,25,SUN,C,Lk,16,
ORDINARY,26,SUN,A,Mt,21,
ORDINARY,26,SUN,B,Mk,9,
ORDINARY,26,SUN,C,Lk,16,
ORDINARY,27,SUN,A,Mt,21,
ORDINARY,27,SUN,B,Mk,10,
ORDINARY,27,SUN,C,Lk,17,
ORDINARY,28,SUN,A,Mt,22,
ORDINARY,28,SUN,B,Mk,10,
ORDINARY,28,SUN,C,Lk,17,
ORDINARY,29,SUN,A,Mt,22,
ORDINARY,29,SUN,B,Mk,10,
ORDINARY,29,SUN,C,Lk,18,
ORDINARY,30,SUN,A,Mt,22,
ORDINARY,30,SUN,B,Mk,10,
ORDINARY,30,SUN,C,Lk,18,
ORDINARY,31,SUN,A,Mt,23,
ORDINARY,31,SUN,B,Mk,12,
ORDINARY,31,SUN,C,Lk,19,
ORDINARY,32,SUN,A,Mt,25,
ORDINARY,32,SUN,B,Mk,12,
ORDINARY,32,SUN,C,Lk,20,
ORDINARY,33,SUN,A,Mt,25,
ORDINARY,33,SUN,B,Mk,13,
ORDINARY,33,SUN,C,Lk,21,
ORDINARY,34,SUN,A,Mt,25,Christ the King
ORDINARY,34,SUN,B,Jn,18,Christ the King
ORDINARY,34,SUN,C,Lk,23,Christ the King
ORDINARY,1,MON,ALL,Mk,1,
ORDINARY,1,TUE,ALL,Mk,1,
ORDINARY,1,WED,ALL,Mk,1,
ORDINARY,1,THU,ALL,Mk,1,
ORDINARY,1,FRI,ALL,Mk,2,
ORDINARY,1,SAT,ALL,Mk,2,
ORDINARY,2,MON,ALL,Mk,2,
ORDINARY,2,TUE,ALL,Mk,2,
ORDINARY,2,WED,ALL,Mk,2,
ORDINARY,2,THU,ALL,Mk,3,
ORDINARY,2,FRI,ALL,Mk,3,
ORDINARY,2,SAT,ALL,Mk,3,
ORDINARY,3,MON,ALL,Mk,3,
ORDINARY,3,TUE,ALL,Mk,3,
ORDINARY,3,WED,ALL,Mk,4,
ORDINARY,3,THU,ALL,Mk,4,
ORDINARY,3,FRI,ALL,Mk,4,
ORDINARY,3,SAT,ALL,Mk,4,
ORDINARY,4,MON,ALL,Mk,4,
ORDINARY,4,TUE,ALL,Mk,5,
ORDINARY,4,WED,ALL,Mk,5,
ORDINARY,4,THU,ALL,Mk,5,
ORDINARY,4,FRI,ALL,Mk,5,
ORDINARY,4,SAT,ALL,Mk,5,
ORDINARY,5,MON,ALL,Mk,6,
ORDINARY,5,TUE,ALL,Mk,6,
ORDINARY,5,WED,ALL,Mk,6,
ORDINARY,5,THU,ALL,Mk,6,
ORDINARY,5,FRI,ALL,Mk,6,
ORDINARY,5,SAT,ALL,Mk,7,
ORDINARY,6,MON,ALL,Mk,7,
ORDINARY,6,TUE,ALL,Mk,7,
ORDINARY,6,WED,ALL,Mk,7,
ORDINARY,6,THU,ALL,Mk,7,
ORDINARY,6,FRI,ALL,Mk,8,
ORDINARY,6,SAT,ALL,Mk,8,
ORDINARY,7,MON,ALL,Mk,8,
ORDINARY,7,TUE,ALL,Mk,8,
ORDINARY,7,WED,ALL,Mk,9,
ORDINARY,7,THU,ALL,Mk,9,
ORDINARY,7,FRI,ALL,Mk,9,
ORDINARY,7,SAT,ALL,Mk,9,
ORDINARY,8,MON,ALL,Mk,9,
ORDINARY,8,TUE,ALL,Mk,9,
ORDINARY,8,WED,ALL,Mk,10,
ORDINARY,8,THU,ALL,Mk,10,
ORDINARY,8,FRI,ALL,Mk,10,
ORDINARY,8,SAT,ALL,Mk,10,
ORDINARY,9,MON,ALL,Mk,10,
ORDINARY,9,TUE,ALL,Mk,10,
ORDINARY,9,WED,ALL,Mk,10,
ORDINARY,9,THU,ALL,Mk,12,
ORDINARY,9,FRI,ALL,Mk,12,
ORDINARY,9,SAT,ALL,Mk,12,
ORDINARY,10,MON,ALL,Mt,5,
ORDINARY,10,TUE,ALL,Mt,5,
ORDINARY,10,WED,ALL,Mt,5,
ORDINARY,10,THU,ALL,Mt,5,
ORDINARY,10,FRI,ALL,Mt,5,
ORDINARY,10,SAT,ALL,Mt,5,
ORDINARY,11,MON,ALL,Mt,5,
ORDINARY,11,TUE,ALL,Mt,5,
ORDINARY,11,WED,ALL,Mt,6,
ORDINARY,11,THU,ALL,Mt,6,
ORDINARY,11,FRI,ALL,Mt,6,
ORDINARY,11,SAT,ALL,Mt,6,
ORDINARY,12,MON,ALL,Mt,7,
ORDINARY,12,TUE,ALL,Mt,7,
ORDINARY,12,WED,ALL,Mt,7,
ORDINARY,12,THU,ALL,Mt,7,
ORDINARY,12,FRI,ALL,Mt,8,
ORDINARY,12,SAT,ALL,Mt,8,
ORDINARY,13,MON,ALL,Mt,8,
ORDINARY,13,TUE,ALL,Mt,8,
ORDINARY,13,WED,ALL,Mt,8,
ORDINARY,13,THU,ALL,Mt,9,
ORDINARY,13,FRI,ALL,Mt,9,
ORDINARY,13,SAT,ALL,Mt,9,
ORDINARY,14,MON,ALL,Mt,9,
ORDINARY,14,TUE,ALL,Mt,9,
ORDINARY,14,WED,ALL,Mt,10,
ORDINARY,14,THU,ALL,Mt,10,
ORDINARY,14,FRI,ALL,Mt,10,
ORDINARY,14,SAT,ALL,Mt,10,
ORDINARY,15,MON,ALL,Mt,10,
ORDINARY,15,TUE,ALL,Mt,11,
ORDINARY,15,WED,ALL,Mt,11,
ORDINARY,15,THU,ALL,Mt,11,
ORDINARY,15,FRI,ALL,Mt,12,
ORDINARY,15,SAT,ALL,Mt,12,
ORDINARY,16,MON,ALL,Mt,12,
ORDINARY,16,TUE,ALL,Mt,12,
ORDINARY,16,WED,ALL,Mt,13,
ORDINARY,16,THU,ALL,Mt,13,
ORDINARY,16,FRI,ALL,Mt,13,
ORDINARY,16,SAT,ALL,Mt,13,
ORDINARY,17,MON,ALL,Mt,13,
ORDINARY,17,TUE,ALL,Mt,13,
ORDINARY,17,WED,ALL,Mt,13,
ORDINARY,17,THU,ALL,Mt,13,
ORDINARY,17,FRI,ALL,Mt,13,
ORDINARY,17,SAT,ALL,Mt,14,
ORDINARY,18,MON,ALL,Mt,14,
ORDINARY,18,TUE,ALL,Mt,14,
ORDINARY,18,WED,ALL,Mt,15,
ORDINARY,18,THU,ALL,Mt,16,
ORDINARY,18,FRI,ALL,Mt,17,
ORDINARY,18,SAT,ALL,Mt,17,
ORDINARY,19,MON,ALL,Mt,17,
ORDINARY,19,TUE,ALL,Mt,18,
ORDINARY,19,WED,ALL,Mt,18,
ORDINARY,19,THU,ALL,Mt,18,
ORDINARY,19,FRI,ALL,Mt,18,
ORDINARY,19,SAT,ALL,Mt,18,
ORDINARY,20,MON,ALL,Mt,19,
ORDINARY,20,TUE,ALL,Mt,19,
ORDINARY,20,WED,ALL,Mt,19,
ORDINARY,20,THU,ALL,Mt,20,
ORDINARY,20,FRI,ALL,Mt,20,
ORDINARY,20,SAT,ALL,Mt,20,
ORDINARY,21,MON,ALL,Mt,23,
ORDINARY,21,TUE,ALL,Mt,23,
ORDINARY,21,WED,ALL,Mt,23,
ORDINARY,21,THU,ALL,Mt,24,
ORDINARY,21,FRI,ALL,Mt,25,
ORDINARY,21,SAT,ALL,Mt,25,
ORDINARY,22,MON,ALL,Lk,4,
ORDINARY,22,TUE,ALL,Lk,4,
ORDINARY,22,WED,ALL,Lk,4,
ORDINARY,22,THU,ALL,Lk,5,
ORDINARY,22,FRI,ALL,Lk,5,
ORDINARY,22,SAT,ALL,Lk,6,
ORDINARY,23,MON,ALL,Lk,6,
ORDINARY,23,TUE,ALL,Lk,6,
ORDINARY,23,WED,ALL,Lk,6,
ORDINARY,23,THU,ALL,Lk,6,
ORDINARY,23,FRI,ALL,Lk,6,
ORDINARY,23,SAT,ALL,Lk,6,
ORDINARY,24,MON,ALL,Lk,7,
ORDINARY,24,TUE,ALL,Lk,7,
ORDINARY,24,WED,ALL,Lk,7,
ORDINARY,24,THU,ALL,Lk,7,
ORDINARY,24,FRI,ALL,Lk,8,
ORDINARY,24,SAT,ALL,Lk,8,
ORDINARY,25,MON,ALL,Lk,8,
ORDINARY,25,TUE,ALL,Lk,8,
ORDINARY,25,WED,ALL,Lk,9,
ORDINARY,25,THU,ALL,Lk,9,
ORDINARY,25,FRI,ALL,Lk,9,
ORDINARY,25,SAT,ALL,Lk,9,
ORDINARY,26,MON,ALL,Lk,9,
ORDINARY,26,TUE,ALL,Lk,9,
ORDINARY,26,WED,ALL,Lk,9,
ORDINARY,26,THU,ALL,Lk,10,
ORDINARY,26,FRI,ALL,Lk,10,
ORDINARY,26,SAT,ALL,Lk,10,
ORDINARY,27,MON,ALL,Lk,10,
ORDINARY,27,TUE,ALL,Lk,10,
ORDINARY,27,WED,ALL,Lk,11,
ORDINARY,27,THU,ALL,Lk,11,
ORDINARY,27,FRI,ALL,Lk,11,
ORDINARY,27,SAT,ALL,Lk,11,
ORDINARY,28,MON,ALL,Lk,11,
ORDINARY,28,TUE,ALL,Lk,11,
ORDINARY,28,WED,ALL,Lk,11,
ORDINARY,28,THU,ALL,Lk,11,
ORDINARY,28,FRI,ALL,Lk,12,
ORDINARY,28,SAT,ALL,Lk,12,
ORDINARY,29,MON,ALL,Lk,12,
ORDINARY,29,TUE,ALL,Lk,12,
ORDINARY,29,WED,ALL,Lk,12,
ORDINARY,29,THU,ALL,Lk,12,
ORDINARY,29,FRI,ALL,Lk,12,
ORDINARY,29,SAT,ALL,Lk,13,
ORDINARY,30,MON,ALL,Lk,13,
ORDINARY,30,TUE,ALL,Lk,13,
ORDINARY,30,WED,ALL,Lk,13,
ORDINARY,30,THU,ALL,Lk,13,
ORDINARY,30,FRI,ALL,Lk,14,
ORDINARY,30,SAT,ALL,Lk,14,
ORDINARY,31,MON,ALL,Lk,14,
ORDINARY,31,TUE,ALL,Lk,14,
ORDINARY,31,WED,ALL,Lk,14,
ORDINARY,31,THU,ALL,Lk,15,
ORDINARY,31,FRI,ALL,Lk,16,
ORDINARY,31,SAT,ALL,Lk,16,
ORDINARY,32,MON,ALL,Lk,17,
ORDINARY,32,TUE,ALL,Lk,17,
ORDINARY,32,WED,ALL,Lk,17,
ORDINARY,32,THU,ALL,Lk,17,
ORDINARY,32,FRI,ALL,Lk,17,
ORDINARY,32,SAT,ALL,Lk,18,
ORDINARY,33,MON,ALL,Lk,18,
ORDINARY,33,TUE,ALL,Lk,19,
ORDINARY,33,WED,ALL,Lk,19,
ORDINARY,33,THU,ALL,Lk,19,
ORDINARY,33,FRI,ALL,Lk,19,
ORDINARY,33,SAT,ALL,Lk,20,
ORDINARY,34,MON,ALL,Lk,21,
ORDINARY,34,TUE,ALL,Lk,21,
ORDINARY,34,WED,ALL,Lk,21,
ORDINARY,34,THU,ALL,Lk,21,
ORDINARY,34,FRI,ALL,Lk,21,
ORDINARY,34,SAT,ALL,Lk,21,
